Id,SalePrice
1461,119113.83359944467
1462,162308.35476641852
1463,183938.72030083617
1464,195256.9502894606
1465,187733.65295900143
1466,174039.66463220993
1467,179676.77712445048
1468,168095.03023462207
1469,198816.1493015021
1470,121773.65799957588
1471,189166.5865765161
1472,98257.0699820199
1473,96879.42013394754
1474,149233.6876749664
1475,120117.37152733497
1476,371192.879720262
1477,255612.8305502922
1478,284820.99630279996
1479,279509.05110474525
1480,488310.4113240793
1481,330495.7818920034
1482,205006.87964551937
1483,167013.40918306395
1484,161150.47345042074
1485,180951.15842073417
1486,194156.99606872274
1487,351115.7179153473
1488,239257.1730732598
1489,202265.81073479194
1490,230963.65953605945
1491,187042.0057277925
1492,84770.13970344156
1493,176425.03003844246
1494,307954.3864833289
1495,304647.5922686811
1496,226881.82254363276
1497,186556.03113546703
1498,158069.27597277783
1499,156675.62237177076
1500,156654.5807625265
1501,174672.67341685985
1502,146967.78473770927
1503,284825.254793629
1504,250840.50671779623
1505,236152.34501610522
1506,185845.36948674277
1507,248583.49394428972
1508,211574.70063246688
1509,155201.28258206902
1510,150249.50559831873
1511,143928.0822588295
1512,179522.21106179335
1513,147248.05426351275
1514,114274.93822319075
1515,193947.20582022954
1516,156200.52525133063
1517,168787.51433998861
1518,137805.71072122327
1519,214032.1768181711
1520,132466.97653159627
1521,131749.24631106225
1522,185847.50613419397
1523,107731.847280752
1524,128362.75556830365
1525,124421.95360937946
1526,119129.24946237785
1527,103704.40409403064
1528,132602.39637564862
1529,148934.43605721596
1530,178996.0318679168
1531,93081.00700780838
1532,100423.22387534022
1533,153874.2322268948
1534,116795.16400809695
1535,142220.0915978887
1536,111163.7810743601
1537,17651.438486328672
1538,146918.1396388046
1539,215253.0039424462
1540,82367.73957695103
1541,142089.50711268402
1542,131525.83346118958
1543,189351.47858082707
1544,83680.01797314596
1545,113773.1723665316
1546,130631.67599439133
1547,129940.7354067974
1548,133722.9834300351
1549,114759.41364234567
1550,139240.80939771928
1551,116112.4747037447
1552,144938.64563616147
1553,149394.74698187909
1554,123209.22634077694
1555,170908.10900144075
1556,93176.701993663
1557,109231.45452862883
1558,101620.10472787038
1559,84614.34728065183
1560,126924.50687180582
1561,128269.20763203005
1562,130485.37762123054
1563,127403.10230849496
1564,158407.65766146863
1565,149219.01007681614
1566,256663.49018630167
1567,73285.86247004366
1568,222593.2231263711
1569,133096.1476545476
1570,140726.77337623163
1571,119322.58323855925
1572,146712.20798606824
1573,261400.51675389239
1574,110836.68027586621
1575,238834.81078052204
1576,230545.14049801911
1577,185843.02770244324
1578,142487.1823310921
1579,142817.6161109078
1580,193972.99608520773
1581,150894.48608016956
1582,131488.5160135928
1583,314645.03679358837
1584,222065.115228972
1585,140181.9528450835
1586,75201.17142451294
1587,120254.87348749914
1588,144229.93177184716
1589,80990.30721623459
1590,134915.94012619596
1591,94590.86308543
1592,112419.3079017387
1593,131430.76179314015
1594,157192.20551935598
1595,106140.6233571585
1596,247445.3269155926
1597,191970.97464704345
1598,210460.0431049759
1599,184309.96085425798
1600,171668.70877961963
1601,62957.338968791075
1602,118131.24820443807
1603,60599.55526411609
1604,269926.1504670704
1605,260464.85973265267
1606,180148.23053789855
1607,182052.07470262775
1608,211208.77756949878
1609,183868.17875828495
1610,151770.9709677526
1611,143571.00630586236
1612,164124.749209821
1613,163901.43324115334
1614,128220.22014623368
1615,87403.30390150909
1616,75039.87314281278
1617,92083.4647629038
1618,125215.22419655029
1619,139549.25491822523
1620,152992.0784265404
1621,135429.84157583813
1622,146874.3022789973
1623,283906.51552779175
1624,217363.29354804454
1625,124242.59770450075
1626,171464.46063216933
1627,190286.4920982357
1628,279888.850801352
1629,177201.56451080128
1630,359926.23865886853
1631,229613.29267851077
1632,247973.7246660313
1633,169066.6955590285
1634,185041.27598409858
1635,179227.38648858422
1636,153845.81764270828
1637,198870.1300146892
1638,180899.92067688343
1639,181647.84316402496
1640,252482.26224204386
1641,173096.55389800417
1642,228765.0302990594
1643,226251.14087041304
1644,238092.04972578798
1645,200530.69410299583
1646,160934.98068208888
1647,159406.31497699124
1648,130108.59137048757
1649,139673.87285482732
1650,107631.79381099375
1651,118864.42099402833
1652,102717.81174195286
1653,102457.86408486307
1654,148833.84212849283
1655,147455.01818831742
1656,145480.72738589268
1657,151820.57633826058
1658,145928.27227886597
1659,125198.85567232699
1660,150254.18294421746
1661,438069.3468928798
1662,410311.9921238682
1663,389492.37258752855
1664,533560.9958361059
1665,321816.77289821784
1666,330343.3137389632
1667,346180.3083992093
1668,332311.2263049556
1669,310021.8925590408
1670,355225.216327964
1671,241277.895583057
1672,442659.1062136995
1673,288159.50326858566
1674,246237.7222379327
1675,184586.97362121666
1676,186155.9548485452
1677,208026.10316076045
1678,504021.0975360418
1679,388914.61359142466
1680,348984.7078115414
1681,255671.44025613143
1682,305462.86543598596
1683,177214.5163719749
1684,174264.22565837693
1685,175560.2508801562
1686,169623.95535804538
1687,169969.93210889312
1688,189126.36308825883
